education,experience,industry,skills,jobtitle,location,salary_range,work_hours,company_size,job_type
Master,7,Healthcare,JavaScript,Hospitality / Tourism,Berlin,"$110,000 - $130,000",Full-time,Small (1-50 employees),Manager
PhD,9,Finance,Java,Industrial Products / Heavy Machinery,Shanghai,"$50,000 - $70,000",Full-time,Small (1-50 employees),Designer
High School,11,Recruitment,Communication,Industrial Products / Heavy Machinery,San Francisco,"$50,000 - $70,000",Part-time,Large (501-10000 employees),Engineer
PhD,1,IT,Machine Learning,Recruitment / Staffing,Shanghai,"$50,000 - $70,000",Part-time,Large (501-10000 employees),Engineer
Bachelor,1,IT,HTML/CSS,Hospitality / Tourism,Singapore,"$110,000 - $130,000",Remote,Large (501-10000 employees),Engineer
Master,6,Education,Data Analysis,Internet / Ecommerce,New York,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
High School,12,Recruitment,Python,Recruitment / Staffing,Sydney,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Analyst
PhD,8,Healthcare,C++,Industrial Products / Heavy Machinery,Sydney,"$130,000 - $150,000",Remote,Medium (51-500 employees),Analyst
Master,14,Recruitment,SQL,Internet / Ecommerce,Shanghai,"$130,000 - $150,000",Contract,Large (501-10000 employees),Consultant
Bachelor,17,Healthcare,Data Analysis,Retail / Wholesale,New York,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Consultant
Master,15,Retail,Problem Solving,Media / Entertainment / Internet,Toronto,"$130,000 - $150,000",Contract,Enterprise (10000+ employees),Analyst
Bachelor,9,Recruitment,Communication,Recruitment / Staffing,Sydney,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Consultant
PhD,18,Retail,Python,Recruitment / Staffing,Paris,"$110,000 - $130,000",Contract,Large (501-10000 employees),Consultant
High School,2,Hospitality,Java,Industrial Products / Heavy Machinery,Paris,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Engineer
Bachelor,10,Industrial,Java,Healthcare / Medical Services,Singapore,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Manager
PhD,9,Education,Machine Learning,IT-Software / Software Services,Berlin,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Administrator
High School,2,Healthcare,Machine Learning,Media / Entertainment / Internet,San Francisco,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Consultant
