education,experience,industry,skills,jobtitle,location,salary_range,work_hours,company_size,job_type,job_level,remote_option,salary_midpoint
Master,5-7 years,Healthcare,Human Resources,Project Manager,"Seattle, WA",40k-60k,Part-time,501-1000,Business Analyst,Mid-Level,Remote,139616
PhD,<1 year,Education,Accounting,Project Manager,"Boston, MA",80k-100k,Part-time,51-200,Software Engineer,Mid-Level,Remote,41064
Bachelor,5-7 years,Government,Programming,Data Analyst,"San Francisco, CA",60k-80k,Part-time,11-50,Business Analyst,Senior-Level,Remote,106304
PhD,7+ years,Healthcare,Accounting,Accountant,"Seattle, WA",100k-120k,Part-time,1-10,Research Scientist,Mid-Level,Remote,73854
PhD,3-5 years,Technology,Project Management,Data Analyst,"Seattle, WA",80k-100k,Part-time,51-200,Project Manager,Mid-Level,On-site,42536
Associate,5-7 years,Healthcare,Accounting,Sales Associate,"San Francisco, CA",60k-80k,Full-time,1001-5000,Software Engineer,Mid-Level,On-site,54969
Bachelor,1-3 years,Education,Data Analysis,HR Specialist,"Seattle, WA",100k-120k,Part-time,201-500,Marketing Specialist,Entry-Level,Remote,116369
Bachelor,<1 year,Healthcare,Customer Service,Accountant,"Austin, TX",80k-100k,Full-time,1001-5000,Marketing Specialist,Senior-Level,Remote,71823
Bachelor,1-3 years,Education,Project Management,Data Analyst,"Seattle, WA",60k-80k,Full-time,51-200,Marketing Specialist,Entry-Level,On-site,56407
PhD,1-3 years,Retail,Customer Service,Customer Support Representative,"Boston, MA",80k-100k,Part-time,51-200,Research Scientist,Entry-Level,Remote,122430
Master,5-7 years,Manufacturing,Project Management,Accountant,"Seattle, WA",120k-140k,Full-time,1001-5000,Business Analyst,Senior-Level,Remote,45125
Bachelor,<1 year,Education,Sales & Marketing,Project Manager,"San Francisco, CA",60k-80k,Part-time,11-50,Business Analyst,Entry-Level,Remote,122658
PhD,3-5 years,Government,Accounting,Project Manager,"New York, NY",120k-140k,Full-time,201-500,Software Engineer,Mid-Level,Remote,52248
Associate,1-3 years,Government,Sales & Marketing,Software Engineer,"Austin, TX",60k-80k,Part-time,1-10,Customer Support Representative,Entry-Level,Remote,139575
Master,<1 year,Government,Sales & Marketing,Software Engineer,"Seattle, WA",120k-140k,Part-time,1001-5000,Engineer (Non-Software),Entry-Level,Remote,121041
Associate,3-5 years,Government,Data Analysis,Customer Support Representative,"Austin, TX",40k-60k,Full-time,501-1000,Healthcare Professional,Mid-Level,On-site,75652
Master,1-3 years,Education,Sales & Marketing,Software Engineer,"Boston, MA",120k-140k,Part-time,1-10,Software Engineer,Mid-Level,Remote,107117
PhD,<1 year,Education,Data Analysis,HR Specialist,"Seattle, WA",40k-60k,Part-time,11-50,Customer Support Representative,Entry-Level,Remote,47287
High School,5-7 years,Manufacturing,Programming,Sales Associate,"Seattle, WA",80k-100k,Full-time,5000+,Accountant,Entry-Level,On-site,86946
Master,1-3 years,Retail,Sales & Marketing,Sales Associate,"Austin, TX",100k-120k,Part-time,1001-5000,Business Analyst,Mid-Level,Remote,113133
Associate,1-3 years,Finance,Data Analysis,Accountant,"Seattle, WA",100k-120k,Full-time,1-10,Accountant,Senior-Level,Remote,86729
PhD,<1 year,Education,Project Management,Project Manager,"Seattle, WA",100k-120k,Part-time,11-50,Software Engineer,Mid-Level,On-site,77201
Master,1-3 years,Finance,Data Analysis,Sales Associate,"New York, NY",40k-60k,Part-time,11-50,Business Analyst,Senior-Level,Remote,41814
High School,3-5 years,Technology,Human Resources,Software Engineer,"Austin, TX",100k-120k,Full-time,5000+,Project Manager,Mid-Level,On-site,115812
High School,1-3 years,Retail,Data Analysis,Customer Support Representative,"San Francisco, CA",100k-120k,Part-time,1-10,Healthcare Professional,Mid-Level,On-site,105623
